Entity,Code,Year,Number of people employed in agriculture  (Herrendorf et al. data),Number of people employed in industry  (Herrendorf et al. data),Number of people employed in services (Herrendorf et al. data)
Belgium,BEL,1992,114539.125,986736.2257,2773621.274
Belgium,BEL,1993,112992.625,952280.8939,2788374.231
Belgium,BEL,1994,110751.125,928597.948,2801515.802
Belgium,BEL,1995,108951.875,918136.375,2840925
Belgium,BEL,1996,104785.5,905219.75,2871121.5
Belgium,BEL,1997,102043.75,893630.625,2903721.375
Belgium,BEL,1998,100278.125,894696.625,2964989.5
Belgium,BEL,1999,98864.75,888789.625,3024268.125
Belgium,BEL,2000,94837.625,899754.625,3096733.375
Belgium,BEL,2001,91850.875,908691.75,3149220.875
Belgium,BEL,2002,89107.25,879646.625,3175551.375
Belgium,BEL,2003,86255.25,859808.5,3199953.375
Belgium,BEL,2004,85034.75,846886.625,3242231.375
Belgium,BEL,2005,84544.75,843837.642,3300567.026
Belgium,BEL,2006,84147.625,846903.1429,3356015.302
Belgium,BEL,2007,82858.625,850901.912,3430756.197
Finland,FIN,1805,702000,31000,122000
Finland,FIN,1880,358000,48000,96000
Finland,FIN,1900,429000,95000,107000
Finland,FIN,1910,897000,175000,109000
Finland,FIN,1920,1032000,192000,164000
Finland,FIN,1930,1107000,252000,228000
Finland,FIN,1940,1158000,375000,338000
Finland,FIN,1950,912000,550000,494000
Finland,FIN,1960,721000,640000,666000
Finland,FIN,1970,471500,736600,1052300
Finland,FIN,1971,444900,736100,1063300
Finland,FIN,1972,419200,763600,1092300
Finland,FIN,1973,394300,805300,1123700
Finland,FIN,1974,369900,806500,1150000
Finland,FIN,1975,348300,800800,1174000
Finland,FIN,1976,336900,769300,1195500
Finland,FIN,1977,316500,743200,1200300
Finland,FIN,1978,304000,721200,1213800
Finland,FIN,1979,306100,739600,1242200
Finland,FIN,1980,308600,769000,1276800
Finland,FIN,1981,305800,765900,1312500
Finland,FIN,1982,310500,760000,1340400
Finland,FIN,1983,300500,755300,1364000
Finland,FIN,1984,298000,749000,1387700
Finland,FIN,1985,281900,740500,1416000
Finland,FIN,1986,267800,726900,1436000
Finland,FIN,1987,254800,718400,1471100
Finland,FIN,1988,243700,718400,1507000
Finland,FIN,1989,223700,726700,1541900
Finland,FIN,1990,213200,720500,1546900
Finland,FIN,1991,202500,649200,1489200
Finland,FIN,1992,188000,579000,1408700
Finland,FIN,1993,174800,529900,1341000
Finland,FIN,1994,170600,519100,1327900
Finland,FIN,1995,161400,537900,1353700
Finland,FIN,1996,152700,545400,1383100
Finland,FIN,1997,149900,572200,1427700
Finland,FIN,1998,138800,590200,1463300
Finland,FIN,1999,139800,605600,1501600
Finland,FIN,2000,136800,620100,1539700
Finland,FIN,2001,131400,621000,1578000.01
Finland,FIN,2002,126600,613000,1612999.95
Finland,FIN,2003,124300,602600.02,1628200.01
Finland,FIN,2004,121800,594599.993,1648399.971
Finland,FIN,2005,121300,602897.4457,1672578.828
Finland,FIN,2006,121700,613797.7669,1703616.462
Finland,FIN,2007,122000,628596.4935,1742379.607
France,FRA,1856,7305000,3793000,3025000
France,FRA,1866,7536000,3861000,3370000
France,FRA,1886,7846000,4295000,4567000
France,FRA,1896,8501000,5394000,5036000
France,FRA,1901,8245000,5847000,5812000
France,FRA,1906,8855000,6053000,5821000
France,FRA,1911,8572000,6931000,5429000
France,FRA,1921,9023000,6371000,6323000
France,FRA,1926,8200000,7021000,6176000
France,FRA,1931,7704000,7195000,6715000
France,FRA,1936,7204000,6182000,6877000
France,FRA,1946,7484000,6186000,7124000
France,FRA,1954,5195000,7003000,7550000
France,FRA,1962,3907000,7426000,8160000
France,FRA,1968,3133000,8087000,8782000
France,FRA,1970,2842823.419,7494729.733,10533637.97
France,FRA,1971,2699836.65,7525567.567,10743241.8
France,FRA,1972,2553243.488,7573049.921,10988698.06
France,FRA,1973,2425554.341,7695992.292,11297179.97
France,FRA,1974,2319525.058,7734684.564,11590422.24
France,FRA,1975,2227155.572,7497638.58,11743202.46
France,FRA,1976,2143763.904,7444960.211,12121229.14
France,FRA,1977,2063989.497,7405835.67,12464425.9
France,FRA,1978,2002053.295,7285673.431,12745006.72
France,FRA,1979,1950420.626,7193017.918,13001861.4
France,FRA,1980,1890627.592,7138653.356,13173372.93
France,FRA,1981,1822389.621,6919852.866,13376062.63
France,FRA,1982,1757923.365,6798498.694,13588512.33
France,FRA,1983,1698831.12,6608331.966,13769271.89
France,FRA,1984,1642774.112,6344934.838,14038654.86
France,FRA,1985,1585639.773,6159997.686,14111551.47
France,FRA,1986,1534551.128,6072384.254,14332437.18
France,FRA,1987,1476537.629,5963969.1,14665982.81
France,FRA,1988,1420838.517,5927442.113,14959214.53
France,FRA,1989,1363824.989,5978264.131,15340701.7
France,FRA,1990,1300400,5987200,15575800
France,FRA,1991,1242200,5892800,15752600
France,FRA,1992,1190400,5684700,15879000
France,FRA,1993,1134000,5386700,15940400
France,FRA,1994,1084300,5229500,16181200
France,FRA,1995,1051100,5230900,16411900
France,FRA,1996,1026600,5153200,16599700
France,FRA,1997,1011300,5068300,16799900
France,FRA,1998,998800,5052900,17175500
France,FRA,1999,981500,5062200,17652600
France,FRA,2000,961100,5157300,18214200
France,FRA,2001,945300,5228000,18591300
France,FRA,2002,928300,5177300,18813500
France,FRA,2003,912200,5103600,18934000
France,FRA,2004,905600,5022400,19048700
France,FRA,2005,895918.1748,5011346.622,19204600.38
France,FRA,2006,875656.2107,5018736.256,19455915.15
France,FRA,2007,851903.7098,5051018.547,19785540.03
Japan,JPN,1872,14495000,833000,1746000
Japan,JPN,1880,16076000,1290000,2175000
Japan,JPN,1890,17198000,2340000,3045000
Japan,JPN,1900,17331000,3427000,4010000
Japan,JPN,1910,16489000,4619000,5061000
Japan,JPN,1920,14441000,5668000,6445000
Japan,JPN,1930,14489000,6117000,8056000
Japan,JPN,1940,15417000,8563000,9027000
Japan,JPN,1950,17158000,8100000,10382000
Japan,JPN,1953,17081689.87,9453817.654,14196613.58
Japan,JPN,1954,16569955.6,9742288.935,14903398.21
Japan,JPN,1955,16928169.58,9899853.259,15764527.38
Japan,JPN,1956,16560275.46,10569274.17,16491093.63
Japan,JPN,1957,16309301.1,11543690.58,17246142.33
Japan,JPN,1958,15737805.29,12197838.52,17986076.11
Japan,JPN,1959,15167317.41,12686762.87,18604803.06
Japan,JPN,1960,15057453.14,13486464.12,19335568.49
Japan,JPN,1961,14645210.13,14337073.54,20060201.03
Japan,JPN,1962,14220871.97,15128892.61,20912496.09
Japan,JPN,1963,13442750.68,15571945.86,22072563.64
Japan,JPN,1964,12898468.96,16147960.17,23112852.37
Japan,JPN,1965,12433813.63,16597646.18,24087359.07
Japan,JPN,1966,12127403.18,17006263.52,25200130.98
Japan,JPN,1967,11889531.91,17857048.98,25967374.47
Japan,JPN,1968,11609327.61,18065219.39,26590224.71
Japan,JPN,1969,11335170.89,18465623.41,27302276.76
Japan,JPN,1970,10821127.04,18698328.11,27912011.75
Japan,JPN,1971,10036958.19,19017920.03,28851196.31
Japan,JPN,1972,9553152.208,19184251.97,29379725.04
Japan,JPN,1973,9104623.749,20068159.58,30367436.94
Japan,JPN,1974,8878847.626,19850682.72,30846130.71
Japan,JPN,1975,8686333.164,19169640.36,31604650
Japan,JPN,1976,8509945.567,19227868.28,32237463.78
Japan,JPN,1977,8432335.025,19145078.25,33010901.37
Japan,JPN,1978,8328518.326,19147333,33492077.34
Japan,JPN,1979,8039242.668,19264940.67,34130660.04
Japan,JPN,1980,7625991.728,19608959,34654679.2
Japan,JPN,1981,7387112.527,19675315.33,35283332.77
Japan,JPN,1982,7245980.583,19535444.33,35908209.84
Japan,JPN,1983,7009441.55,19704813.89,36562363.4
Japan,JPN,1984,6743482.115,19777857.43,36768650.85
Japan,JPN,1985,6651197.537,19861261.58,36842999.19
Japan,JPN,1986,6424279,19815019.42,37214703.22
Japan,JPN,1987,6255876.319,19648642.86,37530385.29
Japan,JPN,1988,6040229.021,20256497.31,37765116.49
Japan,JPN,1989,5846183.346,20774615.33,38046593.8
Japan,JPN,1990,5650116.988,21054788.32,38624341.1
Japan,JPN,1991,5462146.364,21602656.54,39274351.94
Japan,JPN,1992,5332166.678,21769095.26,39798119.99
Japan,JPN,1993,5034213.243,21482202.21,40491097.63
Japan,JPN,1994,4896234.806,21147425.65,40848793.06
Japan,JPN,1995,4792251.057,20680371.29,41385126.86
Japan,JPN,1996,4576648.119,20490531.83,41839546.02
Japan,JPN,1997,4413263.843,20521439.47,42438972.99
Japan,JPN,1998,4237277.523,19636495.33,42705857.18
Japan,JPN,1999,4051128.922,19127676.07,42484792.63
Japan,JPN,2000,3866799.455,18779244.2,42606536.87
Japan,JPN,2001,3697836.422,18200357.99,42861385.48
Japan,JPN,2002,3460497.75,17464319.2,42822758
Japan,JPN,2003,3433042.384,17080565.31,43022959.73
Japan,JPN,2004,3371499.921,16656791.17,43648262.28
Japan,JPN,2005,3343371.126,16448997.46,44124182.06
Japan,JPN,2006,3250386.839,16529746.92,44417304.24
Japan,JPN,2007,3250818.943,16517317.39,44670126.79
Japan,JPN,2008,3189429.376,15620365.77,44235216.65
Japan,JPN,2009,2952837.23,13726583.99,41449802.78
Japan,JPN,2010,2852172.324,13376766.81,41824336.75
Japan,JPN,2011,2785062.387,13269731.73,42150651.61
Japan,JPN,2012,2684397.482,13143980.22,42178352.39
Netherlands,NLD,1807,374533,227690,267644
Netherlands,NLD,1849,506002,389350,360855
Netherlands,NLD,1859,536130,415480,375301
Netherlands,NLD,1889,633448,547810,553776
Netherlands,NLD,1899,681674,652111,665487
Netherlands,NLD,1909,699689,789056,814840
Netherlands,NLD,1920,641000,968000,1109000
Netherlands,NLD,1930,656000,1159000,1496000
Netherlands,NLD,1947,747000,1425000,1832000
Netherlands,NLD,1949,637150.1541,1451712.032,2198909.579
Netherlands,NLD,1960,479205.6808,1763397.719,2589058.469
Netherlands,NLD,1961,475982.3242,1809842.133,2638989.376
Netherlands,NLD,1962,453418.828,1843221.566,2686545.002
Netherlands,NLD,1963,439450.9494,1888475.236,2720293.382
Netherlands,NLD,1964,422259.7143,1912890.652,2767505.745
Netherlands,NLD,1965,397547.3137,1908489.362,2833550.524
Netherlands,NLD,1966,386802.7917,1852134.646,2889533.83
Netherlands,NLD,1967,358867.0345,1863093.175,2964734.024
Netherlands,NLD,1968,334154.6339,1873003.104,3075195.646
Netherlands,NLD,1969,320186.7553,1882296.421,3133449.007
Netherlands,NLD,1970,314265.6206,1855014.647,3214411.029
